,Incident_Number,CreateDatetime,Call_Type,Source,Progress,Priority,Dispositions,Block_Address,City,ZIP_Code,NonBerkeley_Address,ObjectId_x,Statute,Statute_Description,Statute_Type,Arrest_Type,Age,Height,Race,Sex,Weight,Case_Number,ObjectId_y
115,2025-00042469,2025/09/20 04:08:45+00,CFS 459 - Burglary,Telephone,Cold Report,Level 3,Primary Case (Case or Cold Theft),2800 STANTON ST,BERKELEY,94702.0,,3354,496 (A) - M; 487 (A); 182 (A)(1) - F; 459,RECEIVE/ETC KNOWN STOLEN PROPERTY; GRAND THEFT (ALL OTHER); CONSPIRACY:COMMIT CRIME; BURGLARY - BREAKING AND ENTERING,Penal Code; Penal Code; Penal Code; Penal Code,On-View Arrest IBR,36,5 ft. 8 in.,Black,Male,175.0,2025-00042469,121
116,2025-00042409,2025/09/19 21:44:36+00,CFS 20001 - Hit & Run Injuries,911 Call,In Progress,Level 1,"Primary Case (Case or Cold Theft), MDT Narrative Only",ADDISON ST  &  10TH ST,BERKELEY,94710.0,,3400,20002 (A); 166 (A)(4),Hit & run property damage: only; owner required info exchange; CONTEMPT OF COURT: DISOBEY COURT ORDER,Vehicle Code; Penal Code,On-View Arrest IBR,35,6 ft. 0 in.,Black,Male,160.0,2025-00042409,28
117,2025-00042461,2025/09/20 03:36:44+00,CFS 23152 - DUI,911 Call,In Progress,Level 2,"Collision Report, CHP-180 Report, Arrest only (no Case), Primary Case (Case or Cold Theft)",500 BOYNTON AVE,BERKELEY,94707.0,,3409,23152(G); 23152 (A),DUI COMBINED ALCOHOL AND DRUG; DUI ALCOHOL,Vehicle Code; Vehicle Code,On-View Arrest IBR,26,5 ft. 9 in.,Hispanic,Male,177.0,2025-00042461,25
118,2025-00042252,2025/09/18 22:30:11+00,CFS SUSPER - Susp. Person,Telephone,In Progress,Level 2,"Arrest only (no Case), Primary Case (Case or Cold Theft)",2000 OREGON ST,BERKELEY,94703.0,,3410,484 (A); 3056 - Misd.,PETTY THEFT (ALL OTHER); VIOLATION PAROLE:MISDEMEANOR,Penal Code; Penal Code,On-View Arrest IBR,31,6 ft. 1 in.,Black,Male,214.0,2025-00042252,31
119,2025-00042362,2025/09/19 16:15:51+00,CFS 415F - Family Disturbance,911 Call,In Progress,Level 1,"Primary Case (Case or Cold Theft), RIPA",2300 10TH ST,BERKELEY,94710.0,,3411,273A (B); 273.5 (F)(1) - F,WILLFUL CRUELTY TO CHILD; AGG - INFLICT CORPORAL INJURY ON SPOUSE/COHAB W/PRIORS,Penal Code; Penal Code,On-View Arrest IBR,31,6 ft. 1 in.,Black,Male,160.0,2025-00042362,30
120,2025-00042458,2025/09/20 03:16:30+00,CFS 484 - Theft,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),2100 SHATTUCK AVE,BERKELEY,94704.0,,3415,484 (A),PETTY THEFT (ALL OTHER),Penal Code,Summoned/Cited IBR,33,5 ft. 8 in.,Hispanic,Male,135.0,2025-00042458,26
121,2025-00042551,2025/09/20 18:23:12+00,CFS 1067 - Call for Help,911 Call,In Progress,Level 1,Primary Case (Case or Cold Theft),1600 SOLANO AVE,BERKELEY,94707.0,,3443,243(D) - F,BATTERY W/SERIOUS BODILY INJURY,Penal Code,On-View Arrest IBR,21,5 ft. 10 in.,Black,Male,150.0,2025-00042551,19
122,2025-00042245,2025/09/18 21:35:43+00,CFS FLAG - Flag Down,Officer Initiated,In Progress,Level 1,Primary Case (Case or Cold Theft),1400 UNIVERSITY AVE,BERKELEY,94702.0,,3466,666.1(A)(1) (F); 484 (A),Shoplifting: FELONY THEFT WITH 2 PRIORS; PETTY THEFT (ALL OTHER),Penal Code; Penal Code,On-View Arrest IBR,65,5 ft. 4 in.,Black,Female,200.0,2025-00042245,32
123,2025-00042259,2025/09/18 21:23:01+00,CFS 459A - Auto Burglary,Telephone,Cold Report,Level 3,Primary Case (Case or Cold Theft),2100 4TH ST,BERKELEY,94710.0,,3485,459,BURGLARY - BREAKING AND ENTERING,Penal Code,On-View Arrest IBR,52,6 ft. 0 in.,Black,Male,230.0,2025-00042259,171
124,2025-00042443,2025/09/20 01:49:17+00,CFS 20002 - Hit & Run Prop.,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),2600 SAN PABLO AVE,BERKELEY,94702.0,,3497,20002 (A),Hit & run property damage: only; owner required info exchange,Vehicle Code,On-View Arrest IBR,26,5 ft. 9 in.,Hispanic,Male,177.0,2025-00042443,27
125,2025-00042546,2025/09/20 17:29:10+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,"Homeless, RIPA, Arrest only (no Case)",2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,3498,Warr - Out (M),Outside Warrant Misdemeanor,Penal Code,Taken into Custody IBR,25,5 ft. 11 in.,Hispanic,Male,221.0,2025-00042546,20
126,2025-00042383,2025/09/19 19:20:05+00,CFS 242 - Battery,911 Call,In Progress,Level 1,"Homeless, Primary Case (Case or Cold Theft), RIPA",2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,3539,647(F),DISORDERLY CONDUCT:ALCOHOL,Penal Code,On-View Arrest IBR,31,5 ft. 0 in.,Hispanic,Male,150.0,2025-00042383,29
127,2025-00041975,2025/09/17 06:59:50+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,Arrest only (no Case),1300 VIRGINIA ST,BERKELEY,94702.0,,3608,Warr - BPD (M),Misdemeanor Warrant,Penal Code,Taken into Custody IBR,42,5 ft. 7 in.,White,Female,150.0,2025-00041975,44
128,2025-00041958,2025/09/17 04:47:13+00,CFS 484 - Theft,Officer Initiated,In Progress,Level 2,Primary Case (Case or Cold Theft),2100 SHATTUCK AVE,BERKELEY,94704.0,,3625,1203.2 - F; 530.5 (A); 484 (A); 148(A)(1),PROBATION VIOLATION: REARREST/REVOKE; GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT ; PETTY THEFT (ALL OTHER); OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Penal Code; Penal Code; Penal Code; Penal Code,On-View Arrest IBR,32,6 ft. 2 in.,Black,Male,215.0,2025-00041958,45
129,2025-00041957,2025/09/17 04:29:02+00,CFS SEC - Security Check,Officer Initiated,In Progress,Level 4,"Primary Case (Case or Cold Theft), RIPA",2100 SHATTUCK AVE,BERKELEY,94704.0,,3626,Warr - Out (F); 530.5 (A); 484 (A),Outside Warrant Felony; GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT ; PETTY THEFT (ALL OTHER),Penal Code; Penal Code; Penal Code,On-View Arrest IBR,42,5 ft. 7 in.,Black,Male,210.0,2025-00041957,46
130,2025-00041945,2025/09/17 03:08:21+00,CFS SUSPER - Susp. Person,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),2800 ADELINE ST,BERKELEY,94703.0,,3641,1203.2 - F; 484 (A); 166 (A)(4),PROBATION VIOLATION: REARREST/REVOKE; PETTY THEFT (ALL OTHER); CONTEMPT OF COURT: DISOBEY COURT ORDER,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,49,5 ft. 8 in.,Black,Male,180.0,2025-00041945,47
131,2025-00041936,2025/09/17 02:24:08+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Primary Case (Case or Cold Theft), RIPA",HEARST AVE  &  SAN PABLO AVE,BERKELEY,94710.0,,3649,23152(G); 4462.5; 12500 (A),DUI COMBINED ALCOHOL AND DRUG; Display on veh/present to officer false registration; Drive w/o license,Vehicle Code; Vehicle Code; Vehicle Code,Summoned/Cited IBR,23,5 ft. 7 in.,Black,Female,130.0,2025-00041936,49
132,2025-00041934,2025/09/17 02:09:06+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"RIPA, Arrest only (no Case), Homeless, Primary Case (Case or Cold Theft)",ALLSTON WAY  &  4TH ST,BERKELEY,94710.0,,3653,530.5 (A); 11364(A),GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT ; POSSESS UNLAWFUL PARAPHERNALIA,Penal Code; Health and Safety,On-View Arrest IBR,30,5 ft. 10 in.,Black,Male,199.0,2025-00041934,50
133,2025-00042035,2025/09/17 17:17:39+00,CFS 602L - Trespassing,Telephone,In Progress,Level 3,"RIPA, Mental Health, Homeless, Primary Case (Case or Cold Theft)",1900 DELAWARE ST,BERKELEY,94709.0,,3680,Warr - BPD (F); 243(B) (Simp.); 148(A)(1),Felony Warrant; BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,26,6 ft. 2 in.,Black,Male,200.0,2025-00042035,42
134,2025-00041924,2025/09/17 00:44:31+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,"Arrest only (no Case), Primary Case (Case or Cold Theft), RIPA",1800 SOLANO AVE,BERKELEY,94707.0,,3706,602.1 (A); 647(F); 484 (A),TRESPASS: OBSTRUCT BUSINESS OPERATIONS/ETC; DISORDERLY CONDUCT:ALCOHOL; PETTY THEFT (ALL OTHER),Penal Code; Penal Code; Penal Code,Summoned/Cited IBR,42,6 ft. 0 in.,Other,Male,215.0,2025-00041924,48
135,2025-00042117,2025/09/18 01:49:44+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"RIPA, Arrest only (no Case), Homeless, Primary Case (Case or Cold Theft)",1200 SAN PABLO AVE,BERKELEY,94710.0,,3744,Warr - Out (F); 11364(A); 3056 - Felony,Outside Warrant Felony; POSSESS UNLAWFUL PARAPHERNALIA; VIOLATION PAROLE:FELONY,Penal Code; Health and Safety; Penal Code,On-View Arrest IBR,63,6 ft. 2 in.,Black,Male,160.0,2025-00042117,35
136,2025-00041907,2025/09/16 23:26:25+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Primary Case (Case or Cold Theft), RIPA",2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,3798,11377 (A) - M; 11364(A),POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety; Health and Safety,On-View Arrest IBR,71,6 ft. 0 in.,Black,Male,225.0,2025-00041907,51
137,2025-00042049,2025/09/17 19:48:48+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Primary Case (Case or Cold Theft), RIPA",SACRAMENTO ST  &  UNIVERSITY AVE,BERKELEY,94702.0,,3846,1203.2 - F; Warr - BPD (F); 11364(A); 148(A)(1),PROBATION VIOLATION: REARREST/REVOKE; Felony Warrant; POSSESS UNLAWFUL PARAPHERNALIA; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Penal Code; Penal Code; Health and Safety; Penal Code,On-View Arrest IBR,34,6 ft. 2 in.,Hispanic,Male,250.0,2025-00042049,37
138,2025-00041889,2025/09/16 22:58:57+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), RIPA",2200 SHATTUCK AVE,BERKELEY,94704.0,,3856,Warr - BPD (F),Felony Warrant,Penal Code,Taken into Custody IBR,32,6 ft. 0 in.,Black,Male,198.0,2025-00041889,52
139,2025-00042048,2025/09/17 19:45:10+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Primary Case (Case or Cold Theft), RIPA",2200 SHATTUCK AVE,BERKELEY,94704.0,,3886,11364(A),POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety,Summoned/Cited IBR,35,5 ft. 7 in.,White,Female,105.0,2025-00042048,38
140,2025-00042193,2025/09/18 15:11:19+00,CFS SUSCIR - Susp. Circ.,911 Call,In Progress,Level 2,"Arrest only (no Case), MDT Narrative Only, Homeless, Primary Case (Case or Cold Theft)",2900 KING ST,BERKELEY,94703.0,,3904,1203.2 - F; Warr - Out (F); 496D(A); 10851 (A); 11378; 11351.5; 148(A)(1); 466; 459,PROBATION VIOLATION: REARREST/REVOKE; Outside Warrant Felony; POSSESS STOLEN VEHICLE/VESSEL/ETC; TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT; POSSESS CONTROLLED SUBSTANCE FOR SALE; POSSESS/PURCHASE COCAINE BASE FOR SALE; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH; POSSESS/ETC BURGLARY TOOLS; BURGLARY - BREAKING AND ENTERING,Penal Code; Penal Code; Penal Code; Vehicle Code; Health and Safety; Health and Safety; Penal Code; Penal Code; Penal Code,On-View Arrest IBR,38,5 ft. 8 in.,Black,Male,185.0,2025-00042193,33
141,2025-00042193,2025/09/18 15:11:19+00,CFS SUSCIR - Susp. Circ.,911 Call,In Progress,Level 2,"Arrest only (no Case), MDT Narrative Only, Homeless, Primary Case (Case or Cold Theft)",2900 KING ST,BERKELEY,94703.0,,3904,496D(A); 10851 (A); 148(A)(1); 466; 459,POSSESS STOLEN VEHICLE/VESSEL/ETC; TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH; POSSESS/ETC BURGLARY TOOLS; BURGLARY - BREAKING AND ENTERING,Penal Code; Vehicle Code; Penal Code; Penal Code; Penal Code,On-View Arrest IBR,32,5 ft. 7 in.,White,Female,135.0,2025-00042193,34
142,2025-00042044,2025/09/17 19:23:13+00,CFS 5150 - Mentally Ill,911 Call,In Progress,Level 2,"Arrest only (no Case), Primary Case (Case or Cold Theft), RIPA",1300 CEDAR ST,BERKELEY,94702.0,,3924,10852,Tamper with vehicle,Vehicle Code,On-View Arrest IBR,32,5 ft. 2 in.,Black,Female,160.0,2025-00042044,40
143,2025-00042037,2025/09/17 18:15:56+00,CFS SUSPER - Susp. Person,Telephone,In Progress,Level 2,"Mental Health, Primary Case (Case or Cold Theft)",1000 UNIVERSITY AVE,BERKELEY,94710.0,,3971,Warr - BPD (M); Warr - BPD (F); 11364(A),Misdemeanor Warrant; Felony Warrant; POSSESS UNLAWFUL PARAPHERNALIA,Penal Code; Penal Code; Health and Safety,Taken into Custody IBR,43,6 ft. 5 in.,Black,Male,190.0,2025-00042037,41
144,2025-00041990,2025/09/17 09:21:33+00,CFS WARARR - Warrant Arrest,Officer Initiated,In Progress,Level 6,"Arrest only (no Case), Primary Case (Case or Cold Theft)",2400 ASHBY AVE,BERKELEY,94705.0,,3972,Warr - Out (M); Warr - Out (M),Outside Warrant Misdemeanor; Outside Warrant Misdemeanor,Penal Code; Penal Code,Taken into Custody IBR,55,5 ft. 10 in.,White,Male,185.0,2025-00041990,43
145,2025-00041870,2025/09/16 21:11:23+00,CFS 242 - Battery,911 Call,In Progress,Level 1,"Primary Case (Case or Cold Theft), RIPA",MARTIN LUTHER KING JR WAY  &  ALLSTON WAY,BERKELEY,94704.0,,3985,242; 21310 - Felony,BATTERY ON PERSON; CARRY CONCEALED DIRK OR DAGGER,Penal Code; Penal Code,On-View Arrest IBR,68,5 ft. 7 in.,White,Male,150.0,2025-00041870,54
146,2025-00041574,2025/09/15 02:02:02+00,CFS SUSPER - Susp. Person,Telephone,In Progress,Level 2,"Primary Case (Case or Cold Theft), RIPA",1400 UNIVERSITY AVE,BERKELEY,94702.0,,4008,666.1(A)(1) (F); 484 (A); 11364(A); 148.9 (A); 3056 - Felony,Shoplifting: FELONY THEFT WITH 2 PRIORS; PETTY THEFT (ALL OTHER); POSSESS UNLAWFUL PARAPHERNALIA; GIVE FALSE ID TO POLICE OFFICER; VIOLATION PAROLE:FELONY,Penal Code; Penal Code; Health and Safety; Penal Code; Penal Code,On-View Arrest IBR,61,5 ft. 11 in.,Black,Male,175.0,2025-00041574,79
147,2025-00041562,2025/09/15 01:21:44+00,CFS 484 - Theft,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),1800 SOLANO AVE,BERKELEY,94707.0,,4019,484 (A) - (building); 1203.2 - F; 11364(A); 182 (A)(1) - M; 148.9 (A),PETTY THEFT OF PROPERTY FROM BUILDING; PROBATION VIOLATION: REARREST/REVOKE; POSSESS UNLAWFUL PARAPHERNALIA; CONSPIRACY:COMMIT CRIME; GIVE FALSE ID TO POLICE OFFICER,Penal Code; Penal Code; Health and Safety; Penal Code; Penal Code,On-View Arrest IBR,46,5 ft. 5 in.,Black,Female,180.0,2025-00041562,81
148,2025-00041562,2025/09/15 01:21:44+00,CFS 484 - Theft,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),1800 SOLANO AVE,BERKELEY,94707.0,,4019,666.1(A)(1) (F); 484 (A) - (building); 11364(A); 182 (A)(1) - M; 148.9 (A),Shoplifting: FELONY THEFT WITH 2 PRIORS; PETTY THEFT OF PROPERTY FROM BUILDING; POSSESS UNLAWFUL PARAPHERNALIA; CONSPIRACY:COMMIT CRIME; GIVE FALSE ID TO POLICE OFFICER,Penal Code; Penal Code; Health and Safety; Penal Code; Penal Code,On-View Arrest IBR,48,6 ft. 0 in.,Black,Male,140.0,2025-00041562,84
149,2025-00041549,2025/09/15 00:02:13+00,CFS 242 - Battery,911 Call,Cold Report,Level 3,Primary Case (Case or Cold Theft),2500 SAN PABLO AVE,BERKELEY,94702.0,,4037,368 (B) - F,CAUSE INJ ELDER/DEP ADULT AGG ASSAULT,Penal Code,On-View Arrest IBR,28,5 ft. 2 in.,Other,Female,200.0,2025-00041549,87
150,2025-00041546,2025/09/14 23:30:21+00,CFS 417 - Brandishing Weapon,911 Call,In Progress,Level 1,"Mental Health, Primary Case (Case or Cold Theft)",3000 TELEGRAPH AVE,BERKELEY,94705.0,,4039,Warr - Out (M); Warr - Out (M); Warr - Out (F); Warr - Out (F),Outside Warrant Misdemeanor; Outside Warrant Misdemeanor; Outside Warrant Felony; Outside Warrant Felony,Penal Code; Penal Code; Penal Code; Penal Code,Taken into Custody IBR,53,5 ft. 6 in.,White,Female,206.0,2025-00041546,90
151,2025-00041814,2025/09/16 11:31:09+00,CFS 1196 - Suspicoius Vehicle,Officer Initiated,In Progress,Level 0,"Homeless, Primary Case (Case or Cold Theft), Arrest only (no Case)",ASHBY AVE  &  SHATTUCK AVE,BERKELEY,94703.0,,4119,11377 (A) - M; 148(A)(1),POSSESS CONTROLLED SUBSTANCE; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Health and Safety; Penal Code,Summoned/Cited IBR,66,5 ft. 11 in.,Black,Male,250.0,2025-00041814,56
152,2025-00041785,2025/09/16 04:44:11+00,CFS 484 - Theft,Telephone,In Progress,Level 2,"Primary Case (Case or Cold Theft), RIPA",2100 SHATTUCK AVE,BERKELEY,94704.0,,4144,243(B) (Simp.); 459.5 - M; 69 - F (Agg.),BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC; SHOPLIFTING (LESS THAN $950); OBSTRUCT/RESIST EXECUTIVE OFFICER (AGGRAVATED),Penal Code; Penal Code; Penal Code,On-View Arrest IBR,40,6 ft. 3 in.,White,Male,220.0,2025-00041785,59
153,2025-00041682,2025/09/15 17:19:02+00,CFS 653M - Harrassing Phone Calls,Telephone,Cold Report,Level 4,Primary Case (Case or Cold Theft),ARLINGTON AVE & BOYNTON AVE,BERKELEY,94707.0,,4252,422.6 (Agg.); 422 (A) - F,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT OF FORCE; THREATEN CRIME WITH INTENT TO TERRORIZE,Penal Code; Penal Code,On-View Arrest IBR,21,5 ft. 2 in.,Asian,Male,130.0,2025-00041682,62
154,2025-00041704,2025/09/15 20:51:25+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Primary Case (Case or Cold Theft), RIPA",2600 TELEGRAPH AVE,BERKELEY,94704.0,,4266,11377 (A) - M; 11364(A),POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety; Health and Safety,Summoned/Cited IBR,57,5 ft. 10 in.,White,Male,160.0,2025-00041704,71
155,2025-00041688,2025/09/15 19:09:00+00,CFS 415 - Disturbance,Telephone,In Progress,Level 2,"RIPA, Arrest only (no Case), Homeless, Primary Case (Case or Cold Theft)",1600 MILVIA ST,BERKELEY,94709.0,,4290,1203.2 - F; 11364(A),PROBATION VIOLATION: REARREST/REVOKE; POSSESS UNLAWFUL PARAPHERNALIA,Penal Code; Health and Safety,On-View Arrest IBR,56,6 ft. 2 in.,White,Male,190.0,2025-00041688,74
156,2025-00041688,2025/09/15 19:09:00+00,CFS 415 - Disturbance,Telephone,In Progress,Level 2,"RIPA, Arrest only (no Case), Homeless, Primary Case (Case or Cold Theft)",1600 MILVIA ST,BERKELEY,94709.0,,4290,1203.2 - F; 166 (A)(4); 148(A)(1),PROBATION VIOLATION: REARREST/REVOKE; CONTEMPT OF COURT: DISOBEY COURT ORDER; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,41,6 ft. 3 in.,White,Male,230.0,2025-00041688,77
157,2025-00041743,2025/09/16 00:41:54+00,CFS SEC - Security Check,Officer Initiated,In Progress,Level 4,Primary Case (Case or Cold Theft),7TH ST  &  HARRISON ST,BERKELEY,94710.0,,4307,11364(A),POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety,On-View Arrest IBR,50,5 ft. 9 in.,White,Male,158.0,2025-00041743,68
158,2025-00041071,2025/09/12 15:02:17+00,CFS 415F - Family Disturbance,911 Call,In Progress,Level 1,"Arrest only (no Case), Primary Case (Case or Cold Theft), RIPA",2300 WOOLSEY ST,BERKELEY,94705.0,,4417,273.5 - Simp; 236; 647(F); 273.6(A),CORPORAL INJURY ON SPOUSE/COHABITANT/CHILD IN COMMON; False Imprisonment; DISORDERLY CONDUCT:ALCOHOL; VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,Penal Code; Penal Code; Penal Code; Penal Code,On-View Arrest IBR,42,5 ft. 8 in.,White,Male,150.0,2025-00041071,140
159,2025-00041115,2025/09/12 19:40:11+00,CFS 484 - Theft,Officer Initiated,In Progress,Level 2,Primary Case (Case or Cold Theft),2100 SHATTUCK AVE,BERKELEY,94704.0,,4535,666.1(A)(1) (F); 484 (A) - (Shoplift); 11364(A); 166 (A)(4),Shoplifting: FELONY THEFT WITH 2 PRIORS; PETTY THEFT SHOPLIFTING; POSSESS UNLAWFUL PARAPHERNALIA; CONTEMPT OF COURT: DISOBEY COURT ORDER,Penal Code; Penal Code; Health and Safety; Penal Code,On-View Arrest IBR,44,5 ft. 10 in.,Black,Male,190.0,2025-00041115,125
160,2025-00041238,2025/09/13 06:01:00+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),2500 DURANT AVE,BERKELEY,94704.0,,4585,602.1 (A); 242; 422 (A) - F,TRESPASS: OBSTRUCT BUSINESS OPERATIONS/ETC; BATTERY ON PERSON; THREATEN CRIME WITH INTENT TO TERRORIZE,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,31,5 ft. 10 in.,Black,Male,180.0,2025-00041238,103
161,2025-00041235,2025/09/13 05:50:35+00,CFS 207 - Kidnapping,Telephone,In Progress,Level 1,Primary Case (Case or Cold Theft),RIDGE RD  &  HIGHLAND PL,BERKELEY,94709.0,,4590,243 (E)(1) Simp,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,Penal Code,On-View Arrest IBR,35,5 ft. 9 in.,Hispanic,Male,195.0,2025-00041235,106
162,2025-00041105,2025/09/12 18:33:16+00,CFS 484 - Theft,Telephone,In Progress,Level 2,"RIPA, Arrest only (no Case), Homeless, Primary Case (Case or Cold Theft)",2100 SHATTUCK AVE,BERKELEY,94704.0,,4643,666.1(A)(1) (F); 484 (A) - (Shoplift),Shoplifting: FELONY THEFT WITH 2 PRIORS; PETTY THEFT SHOPLIFTING,Penal Code; Penal Code,On-View Arrest IBR,50,6 ft. 0 in.,Black,Male,180.0,2025-00041105,128
163,2025-00041109,2025/09/12 18:31:07+00,CFS 415 - Disturbance,Telephone,In Progress,Level 2,Arrest only (no Case),1700 SAN PABLO AVE,BERKELEY,94702.0,,4648,Warr - Out (M); Warr - Out (F); Warr - Out (F),Outside Warrant Misdemeanor; Outside Warrant Felony; Outside Warrant Felony,Penal Code; Penal Code; Penal Code,Taken into Custody IBR,28,6 ft. 3 in.,Black,Male,165.0,2025-00041109,131
164,2025-00041125,2025/09/12 18:23:33+00,CFS 415F - Family Disturbance,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),1700 SOLANO AVE,BERKELEY,94707.0,,4653,273A (B); 243 (E)(1) Simp,WILLFUL CRUELTY TO CHILD; BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,Penal Code; Penal Code,On-View Arrest IBR,31,5 ft. 4 in.,Hispanic,Female,180.0,2025-00041125,134
165,2025-00041156,2025/09/12 22:36:42+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), RIPA",CEDAR ST  &  MILVIA ST,BERKELEY,94709.0,,4669,Warr - Out (M); Warr - Out (M),Outside Warrant Misdemeanor; Outside Warrant Misdemeanor,Penal Code; Penal Code,Taken into Custody IBR,38,6 ft. 2 in.,White,Male,215.0,2025-00041156,112
166,2025-00041153,2025/09/12 22:33:08+00,CFS 484 - Theft,Telephone,In Progress,Level 2,"RIPA, Arrest only (no Case), Homeless, Primary Case (Case or Cold Theft)",1400 UNIVERSITY AVE,BERKELEY,94702.0,,4675,666.1(A)(1) (F); 484 (A) - (Shoplift); 1203.2 - F,Shoplifting: FELONY THEFT WITH 2 PRIORS; PETTY THEFT SHOPLIFTING; PROBATION VIOLATION: REARREST/REVOKE,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,38,5 ft. 6 in.,Black,Male,215.0,2025-00041153,109
167,2025-00041331,2025/09/13 17:14:37+00,CFS 273 5 - Domestic Violence,Telephone,Cold Report,Level 2,Primary Case (Case or Cold Theft),3000 SAN PABLO AVE,BERKELEY,94702.0,,4684,273.5 - Simp,CORPORAL INJURY ON SPOUSE/COHABITANT/CHILD IN COMMON,Penal Code,On-View Arrest IBR,49,6 ft. 2 in.,Black,Male,200.0,2025-00041331,94
168,2025-00041147,2025/09/12 22:06:21+00,CFS 484 - Theft,Telephone,In Progress,Level 2,"Arrest only (no Case), Primary Case (Case or Cold Theft)",2100 SHATTUCK AVE,BERKELEY,94704.0,,4710,484 (A); 11377 (A) - M; 11364(A),PETTY THEFT (ALL OTHER); POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA,Penal Code; Health and Safety; Health and Safety,Summoned/Cited IBR,55,5 ft. 9 in.,White,Male,185.0,2025-00041147,115
169,2025-00041145,2025/09/12 21:54:29+00,CFS SUSPER - Susp. Person,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),2100 SHATTUCK AVE,BERKELEY,94704.0,,4720,666.1(A)(1) (F); 484 (A) - (Shoplift); 166 (A)(1),Shoplifting: FELONY THEFT WITH 2 PRIORS; PETTY THEFT SHOPLIFTING; CONTEMPT OF COURT: DISORDERLY/ETC BEHAVIOR,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,43,5 ft. 9 in.,White,Male,150.0,2025-00041145,118
170,2025-00041143,2025/09/12 21:32:57+00,CFS 1181 - Minor Injuries,911 Call,In Progress,Level 1,"Collision Report, Primary Case (Case or Cold Theft)",2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,4748,23152 (A),DUI ALCOHOL,Vehicle Code,On-View Arrest IBR,28,5 ft. 3 in.,Black,Female,135.0,2025-00041143,122
